id,date
215026,25/1/2022
215030,2/3/2022
215048,6/4/2022
205049,5/4/2022
215050,6/4/2022
215051,6/4/2022
215052,6/4/2022
215053,6/4/2022
215054,20/5/2022
215055,6/4/2022
215056,6/4/2022
205057,6/4/2022
215058,6/4/2022
215060,6/4/2022
205059,6/4/2022
215061,6/4/2022
215062,6/4/2022
205065,20/4/2022
215066,12/4/2022
215067,12/4/2022
215070,6/4/2022
215072,12/4/2022
215077,
215181,15/6/2022
206074,9/4/2022
216075,9/4/2022
206076,9/4/2022
206079,
213081,26/4/2022
106084,17/5/2022
216107,1/6/2022
206113,4/6/2022
216199,28/7/2022
216117,3/6/2022
206118,3/6/2022
206119,3/6/2022
206120,3/6/2022
216121,3/6/2022
206122,3/6/2022
216123,3/6/2022
206124,3/6/2022
216128,12/6/2022
216129,12/6/2022
216130,12/6/2022
216131,12/6/2022
206132,12/6/2022
206133,12/6/2022
216134,30/6/2022
216135,30/6/2022
216136,9/8/2022
137,30/6/2022
138,30/6/2022
139,30/6/2022
106169,30/6/2022
204001,11/11/2021
214002,11/11/2021
204010,28/3/2022
214011,
214036,24/2/2022
204037,24/2/2022
214046,26/3/2022
204100,29/5/2022
213004,19/11/2021
213005,19/11/2021
213006,26/11/2021
213008,17/11/2021
113009,21/11/2021
103018,31/1/2021
213022,18/1/2021
213023,17/1/2022
213033,24/2/2021
213035,23/2/2021
213042,24/3/2022
213043,24/3/2022
213082,17/5/2022
213083,17/5/2022
213086,16/5/2022
203087,3/6/2022
203089,9/7/2022
203106,7/6/2022
213111,-
203127,15/6/2022
203140,20/6/2022
203141,29/6/2022
213157,25/6/2022
213170,-
213193,
213197,-
213206,4/8/2022
213097,2/6/2022
203166,28/6/2022
213167,28/6/2022
213171,14/6/2022
213172,28/6/2022
203173,6/7/2022
203174,6/7/2022
203175,6/7/2022
203176,6/7/2022
203177,6/7/2022
203178,6/7/2022
203179,6/7/2022
203180,6/7/2022
213182,6/7/2022
213183,6/7/2022
213198,28/7/2022
213201,16/8/2022
212012,5/7/2022
212024,25/1/2022
202025,24/1/2022
212027,26/1/2022
113038,24/2/2022
212044,
213047,
212064,
213078,28/4/2022
213085,
212101,
212125,18/6/2022
202126,18-/06/22
212158,19/6/2022
212159,19/6/2022
212160,
212161,
212162,19/6/2022
212163,19/6/2022
212164,
212165,
212213,
112080,
213098,1/6/2022
213168,30/6/2022
211003,14/11/2021
211007,16/11/2021
211013,9/12/2021
111014,11/12/2021
201015,12/12/2021
201016,3/1/2021
111017,5/1/2021
211019,13/1/2022
211020,13/1/2022
201021,
211028,31/1/2022
211029,8/6/2022
111031,
211032,7/2/2021
111034,11/2/2021
111039,11/3/2022
111040,11/3/2022
121041,11/3/2022
112045,
111063,6/4/2022
211068,1/6/2022
211071,7/6/2021
112073,
211088,19/5/2022
111091,27/5/2022
201092,26/5/2022
211093,26/5/2022
211094,26/5/2022
211095,26/5/2022
211096,29/5/2022
211099,
211102,28/6/2022
111104,2/6/2022
211105,8/6/2022
211108,
211109,
211112,1/6/2022
201114,3/6/2022
201115,6/7/2022
101116,
211194,
211195,
211212,
211202,
211203,
211303,
211305,
211311,
211322,
,
213103,1/6/2022
203200,
203090,9/7/2022
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
